#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_011916.1",68289,69062,"-",7332155,,"CCNA_00065","YP_002515440.1",257,"S-adenosylmethionine-dependent methyltransferase"
"chromosome","NC_011916.1",69120,69488,"-",7332156,,"CCNA_00066","YP_002515441.1",122,"Rieske (2Fe-2S) domain protein"
"chromosome","NC_011916.1",69493,69774,"-",7332157,,"CCNA_00067","YP_002515442.1",93,"YciI-like protein"
"chromosome","NC_011916.1",69794,70804,"-",7332158,"gpsA","CCNA_00068","YP_002515443.1",336,"NAD(P)H-dependent glycerol-3-phosphate dehydrogenase"
"chromosome","NC_011916.1",70801,71904,"-",7332159,,"CCNA_00069","YP_002515444.1",367,"tRNA threonylcarbamoyl adenosine modification protein TsaD"
"chromosome","NC_011916.1",71977,72945,"+",7332160,,"CCNA_00070","YP_002515445.1",322,"porphobilinogen deaminase"
"chromosome","NC_011916.1",72950,73636,"+",7332161,,"CCNA_00071","YP_002515446.1",228,"uroporphyrinogen-III synthase"
"chromosome","NC_011916.1",73680,74576,"+",7332162,,"CCNA_00072","YP_002515447.2",298,"hypothetical protein CCNA_00072"
"chromosome","NC_011916.1",74573,76108,"+",7332163,,"CCNA_00073","YP_002515448.1",511,"HemY domain membrane protein"
"chromosome","NC_011916.1",76477,78678,"-",7332165,,"CCNA_00074","YP_002515449.1",733,"multifunctional fatty acid oxidation complex subunit alpha FadJ"
"chromosome","NC_011916.1",78703,79908,"-",7332166,,"CCNA_00075","YP_002515450.1",401,"3-ketoacyl-CoA thiolase"
"chromosome","NC_011916.1",79975,80358,"-",7332167,,"CCNA_00076","YP_002515451.1",127,"hypothetical protein CCNA_00076"
"chromosome","NC_011916.1",80355,81530,"-",7332168,,"CCNA_00077","YP_002515452.1",391,"acyl-CoA dehydrogenase, long-chain specific"
"chromosome","NC_011916.1",81533,83326,"-",7332169,,"CCNA_00078","YP_002515453.1",597,"acyl-CoA dehydrogenase"
"chromosome","NC_011916.1",83414,83893,"-",7332170,,"CCNA_00079","YP_002515454.1",159,"MerR-family transcriptional regulator"
"chromosome","NC_011916.1",84087,84728,"+",7332171,,"CCNA_00080","YP_002515455.1",213,"LexA-related transcriptional repressor"
"chromosome","NC_011916.1",84763,84972,"-",7332172,,"CCNA_00081","YP_002515456.1",69,"hypothetical protein CCNA_00081"
"chromosome","NC_011916.1",85222,86880,"-",7332173,"lysS","CCNA_00082","YP_002515457.1",552,"class 1 lysyl-tRNA synthetase"
"chromosome","NC_011916.1",87043,88683,"-",7332174,,"CCNA_00083","YP_002515458.1",546,"phosphoglucomutase/phosphomannomutase"
"chromosome","NC_011916.1",89053,90642,"+",7332175,"purH","CCNA_00084","YP_002515459.1",529,"phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase"
"chromosome","NC_011916.1",90655,91413,"+",7332176,,"CCNA_00085","YP_002515460.1",252,"dienelactone hydrolase-related protein"
"chromosome","NC_011916.1",91467,96290,"-",7332177,"gdhZ","CCNA_00086","YP_002515461.1",1607,"NAD-specific glutamate dehydrogenase GdhZ"
"chromosome","NC_011916.1",96628,97737,"-",7332179,,"CCNA_00087","YP_002515462.1",369,"PerM-family permease"
"chromosome","NC_011916.1",97841,99385,"+",7330130,,"CCNA_00088","YP_002515463.2",514,"HerA helicase-related ATPase"
"chromosome","NC_011916.1",99466,101895,"-",7332343,,"CCNA_00089","YP_002515464.1",809,"MHYT/PAS-family GGDEF/EAL protein"
"chromosome","NC_011916.1",101960,102943,"-",7332344,,"CCNA_00090","YP_002515465.1",327,"UDP-glucose 4-epimerase"
"chromosome","NC_011916.1",103149,104042,"-",7332345,,"CCNA_00091","YP_002515466.1",297,"transporter, drug/metabolite exporter family"
"chromosome","NC_011916.1",104039,104929,"-",7332346,,"CCNA_00092","YP_002515467.1",296,"short chain dehydrogenase"
"chromosome","NC_011916.1",105028,105237,"-",7332347,,"CCNA_00093","YP_002515468.1",69,"hypothetical protein CCNA_00093"
"chromosome","NC_011916.1",105310,106230,"-",7332348,"hfsJ","CCNA_00094","YP_002515469.1",306,"WecG/TagA-family glycosyltransferase HfsJ"
"chromosome","NC_011916.1",106334,107332,"-",7332349,,"CCNA_00095","YP_002515470.1",332,"quinone oxidoreductase"
"chromosome","NC_011916.1",107402,108280,"+",7332350,,"CCNA_00096","YP_002515471.1",292,"L-asparaginase"
"chromosome","NC_011916.1",108334,108792,"+",7332351,,"CCNA_00097","YP_002515472.1",152,"hypothetical protein CCNA_00097"
"chromosome","NC_011916.1",108943,109233,"-",7332352,,"CCNA_00098","YP_002515473.1",96,"hypothetical protein CCNA_00098"
"chromosome","NC_011916.1",109239,110969,"-",7332353,"fzlC","CCNA_00099","YP_002515474.1",576,"FtsZ-binding protein FzlC"
"chromosome","NC_011916.1",110979,111638,"-",7332354,,"CCNA_00100","YP_002515475.2",219,"Ribulose-5-phosphate 3-epimerase"
"chromosome","NC_011916.1",111745,113034,"-",7332355,"rsmB","CCNA_00101","YP_002515476.1",429,"16S rRNA m5C methyltransferase RsmB"
"chromosome","NC_011916.1",113151,113375,"+",7332356,,"CCNA_00102","YP_002515477.2",74,"conserved hypothetical protein"
"chromosome","NC_011916.1",113463,115160,"+",7332357,,"CCNA_00103","YP_002515478.1",565,"gamma-glutamyltranspeptidase"
"chromosome","NC_011916.1",115289,115990,"-",7332358,,"CCNA_00104","YP_002515479.1",233,"orotidine 5\\'-phosphate decarboxylase"
"chromosome","NC_011916.1",116088,116786,"+",7332359,,"CCNA_00105","YP_002515480.1",232,"MarC family integral membrane protein"
"chromosome","NC_011916.1",116834,118099,"+",7332360,,"CCNA_00106","YP_002515481.1",421,"2-polyprenyl-6-methoxyphenol hydroxylase"
"chromosome","NC_011916.1",118260,118457,"-",7332361,,"CCNA_00107","YP_002515482.1",65,"Trm112p-like protein"
"chromosome","NC_011916.1",118467,119144,"-",7332362,,"CCNA_00108","YP_002515483.1",225,"lon endopeptidase-related protein"
"chromosome","NC_011916.1",119160,120059,"-",7332363,"cnoX","CCNA_00109","YP_002515484.1",299,"chaperedoxin CnoX"
"chromosome","NC_011916.1",120169,120675,"-",7332364,,"CCNA_00110","YP_002515485.1",168,"RNA-binding protein ProXp-ala"
"chromosome","NC_011916.1",120752,121498,"+",7332365,,"CCNA_00111","YP_002515486.1",248,"hypothetical protein CCNA_00111"
"chromosome","NC_011916.1",121503,121892,"+",7332366,,"CCNA_00112","YP_002515487.1",129,"glyoxalase family protein"
"chromosome","NC_011916.1",121972,122544,"+",7332367,,"CCNA_00113","YP_002515488.1",190,"hypothetical protein CCNA_00113"
"chromosome","NC_011916.1",122547,122852,"+",7332368,,"CCNA_00114","YP_002515489.1",101,"MarR/EmrR-family transcriptional regulator"
"chromosome","NC_011916.1",122939,126268,"+",7332369,,"CCNA_00115","YP_002515490.2",1109,"TolB protein"
"chromosome","NC_011916.1",126407,127753,"-",7332370,"glmM","CCNA_00116","YP_002515491.1",448,"phosphoglucosamine mutase"
"chromosome","NC_011916.1",127915,129735,"+",7332371,"glmS","CCNA_00117","YP_002515492.1",606,"glucosamine-fructose-6-phosphate aminotransferase, isomerizing"
"chromosome","NC_011916.1",129746,131989,"+",7332372,,"CCNA_00118","YP_002515493.1",747,"O-linked N-acetylglucosamine transferase, SPINDLY family"
"chromosome","NC_011916.1",131977,132438,"+",7332373,,"CCNA_00119","YP_002515494.1",153,"S-adenosylmethionine-dependent methyltransferase"
"chromosome","NC_011916.1",132435,132953,"+",7332374,,"CCNA_00120","YP_002515495.1",172,"N-acetyltransferase family protein"
"chromosome","NC_011916.1",132950,133408,"-",7332375,,"CCNA_00121","YP_002515496.1",152,"hypothetical protein CCNA_00121"
"chromosome","NC_011916.1",133417,133827,"-",7332376,,"CCNA_00122","YP_002515497.1",136,"YkvA-family membrane protein"
"chromosome","NC_011916.1",133900,134682,"+",7332377,,"CCNA_00123","YP_002515498.1",260,"3-hydroxyacyl CoA dehydrogenase"
"chromosome","NC_011916.1",134826,135413,"-",7332378,,"CCNA_00124","YP_002515499.2",195,"hypothetical protein CCNA_00124"
"chromosome","NC_011916.1",135509,136177,"-",7332379,,"CCNA_00125","YP_002515500.1",222,"amino acid efflux permease"
"chromosome","NC_011916.1",136184,136591,"-",7332380,,"CCNA_00126","YP_002515501.1",135,"glutathione S-transferase"
"chromosome","NC_011916.1",136811,137011,"+",7332381,,"CCNA_00127","YP_002515502.1",66,"KTSC domain protein"
"chromosome","NC_011916.1",137246,138472,"-",7332382,,"CCNA_00128","YP_002515503.1",408,"argininosuccinate synthase"
"chromosome","NC_011916.1",138555,138917,"-",7332383,,"CCNA_00129","YP_002515504.1",120,"hypothetical protein CCNA_00129"
"chromosome","NC_011916.1",138921,140918,"-",7332384,,"CCNA_00130","YP_002515505.1",665,"Kup system potassium uptake protein"
"chromosome","NC_011916.1",141119,141541,"+",7332385,,"CCNA_00131","YP_002515506.1",140,"Rrf2 family protein"
"chromosome","NC_011916.1",141633,142433,"+",7332386,"hetN","CCNA_00132","YP_002515507.1",266,"ketoacyl reductase hetN"
"chromosome","NC_011916.1",142680,143894,"+",7332387,,"CCNA_00133","YP_002515508.1",404,"radical SAM family enzyme"
"chromosome","NC_011916.1",143989,144417,"+",7332388,,"CCNA_00134","YP_002515509.1",142,"YjfL-family membrane protein"
"chromosome","NC_011916.1",144443,145276,"+",7332389,,"CCNA_00135","YP_002515510.1",277,"trypsin-like peptidase"
"chromosome","NC_011916.1",145273,146952,"-",7332390,,"CCNA_00136","YP_002515511.1",559,"AmpG-family major facilitator transporter"
"chromosome","NC_011916.1",146986,148530,"-",7332391,"shkA","CCNA_00137","YP_002515512.1",514,"hybrid two-component histidine kinase/receiver protein ShkA"
"chromosome","NC_011916.1",148752,150944,"+",7332392,,"CCNA_00138","YP_002515513.1",730,"TonB-dependent receptor"
"chromosome","NC_011916.1",150993,152600,"-",7332393,"chlI","CCNA_00139","YP_002515514.1",535,"magnesium chelatase subunit ChlI-like ATPase"
"chromosome","NC_011916.1",152709,153662,"-",7332394,,"CCNA_00140","YP_002515515.1",317,"glutathione synthetase"
"chromosome","NC_011916.1",153718,154533,"-",7332395,,"CCNA_00141","YP_002515516.1",271,"SirB1-family tetratricopeptide repeat protein"
"chromosome","NC_011916.1",154535,154912,"-",7332396,,"CCNA_00142","YP_002515517.1",125,"endonuclease"
"chromosome","NC_011916.1",154912,155784,"-",7332397,,"CCNA_00143","YP_002515518.1",290,"ribosomal RNA small subunit methyltransferase I"
"chromosome","NC_011916.1",155819,156973,"-",7332398,,"CCNA_00144","YP_002515519.1",384,"oxygen-independent coproporphyrinogen-III oxidase"
"chromosome","NC_011916.1",156966,157568,"-",7332399,,"CCNA_00145","YP_002515520.1",200,"xanthosine triphosphate pyrophosphatase"
"chromosome","NC_011916.1",157593,158186,"+",7332400,,"CCNA_00146","YP_002515521.1",197,"glutathione S-transferase"
"chromosome","NC_011916.1",158354,158470,"+",7332401,,"CCNA_00147","YP_002515522.2",38,"hypothetical protein CCNA_00147"
"chromosome","NC_011916.1",158546,159079,"+",7332402,,"CCNA_00148","YP_002515523.1",177,"hypothetical protein CCNA_00148"
"chromosome","NC_011916.1",159096,159323,"+",7332403,,"CCNA_00149","YP_002515524.1",75,"Cro/CI-family transcriptional regulator"
"chromosome","NC_011916.1",159320,160297,"-",7332404,,"CCNA_00150","YP_002515525.1",325,"Periplasmic serine protease, S1-C subfamily"
"chromosome","NC_011916.1",160464,161180,"-",7332405,,"CCNA_00151","YP_002515526.1",238,"ribonuclease PH"
"chromosome","NC_011916.1",161320,162396,"+",7332406,,"CCNA_00152","YP_002515527.1",358,"winged helix-turn-helix transcription repressor HrcA"
"chromosome","NC_011916.1",162409,163035,"+",7332407,"grpE","CCNA_00153","YP_002515528.1",208,"adenine nucleotide exchange factor GrpE"
"chromosome","NC_011916.1",162975,163235,"-",7332408,,"CCNA_00154","YP_002515529.1",86,"conserved hypothetical membrane protein"
"chromosome","NC_011916.1",163413,164531,"+",7332409,,"CCNA_00155","YP_002515530.1",372,"DNA polymerase III, beta chain"
"chromosome","NC_011916.1",164664,164951,"+",7332410,,"CCNA_00156","YP_002515531.3",95,"ArsR-family transcriptional regulator"
"chromosome","NC_011916.1",165022,165393,"+",7332411,,"CCNA_00157","YP_002515532.1",123,"glyoxalase family protein"
"chromosome","NC_011916.1",165621,166784,"+",7332412,"recF","CCNA_00158","YP_002515533.1",387,"DNA replication and repair protein recF"
"chromosome","NC_011916.1",166781,169246,"+",7332413,"gyrB","CCNA_00159","YP_002515534.4",821,"DNA gyrase subunit B"
"chromosome","NC_011916.1",169387,170526,"+",7332414,,"CCNA_00160","YP_002515535.1",379,"methyl-accepting chemotaxis protein"
"chromosome","NC_011916.1",170951,171577,"+",7332415,,"CCNA_00161","YP_002515536.1",208,"hypothetical protein CCNA_00161"
"chromosome","NC_011916.1",171649,172917,"+",7332416,,"CCNA_00162","YP_002515537.1",422,"beta-barrel type 2 porin"
"chromosome","NC_011916.1",172964,175183,"+",7332417,,"CCNA_00163","YP_002515538.1",739,"exopolysaccharide transport family protein"
"chromosome","NC_011916.1",175173,177098,"+",7332418,,"CCNA_00164","YP_002515539.1",641,"O-antigen polymerase"
"chromosome","NC_011916.1",177092,177745,"-",7332419,"pssY","CCNA_00165","YP_002515540.2",217,"polyisoprenylphosphate hexose-1-phosphotransferase pssY"
"chromosome","NC_011916.1",177944,178090,"+",18668791,,"CCNA_03915","YP_009020486.1",48,"hypothetical protein CCNA_03915"
"chromosome","NC_011916.1",178252,179070,"-",7332420,"hvyA","CCNA_00166","YP_002515541.1",272,"transglutaminase-like cysteine proteinase HvyA"
"chromosome","NC_011916.1",179311,180120,"+",7332421,,"CCNA_00167","YP_002515542.1",269,"metallophosphatase family protein"
"chromosome","NC_011916.1",180205,180801,"+",7332422,,"CCNA_00168","YP_002515543.2",198,"polysaccharide export protein"
"chromosome","NC_011916.1",181379,182917,"+",7332423,,"CCNA_00169","YP_002515544.1",512,"hypothetical protein CCNA_00169"
"chromosome","NC_011916.1",182997,185663,"+",7330214,,"CCNA_00170","YP_002515545.1",888,"TonB-dependent receptor"
"chromosome","NC_011916.1",185853,186290,"+",7330215,,"CCNA_00171","YP_002515546.1",145,"type II secretion pathway protein C"
"chromosome","NC_011916.1",186287,188350,"+",7330216,"pulD","CCNA_00172","YP_002515547.1",687,"type II secretion pathway protein D"
"chromosome","NC_011916.1",188347,189822,"+",7330217,"pulE","CCNA_00173","YP_002515548.1",491,"type II secretion pathway protein E"
"chromosome","NC_011916.1",189809,191020,"+",7330218,"pulF","CCNA_00174","YP_002515549.1",403,"type II secretion pathway protein F"
"chromosome","NC_011916.1",191032,191484,"+",7330219,,"CCNA_00175","YP_002515550.1",150,"type II secretion pathway protein G"
"chromosome","NC_011916.1",191399,191956,"+",7330220,,"CCNA_00176","YP_002515551.3",185,"type II secretion pathway protein H"
"chromosome","NC_011916.1",191925,192308,"+",7330221,,"CCNA_00177","YP_002515552.3",127,"type II secretion pathway protein I"
"chromosome","NC_011916.1",192305,192895,"+",7330222,,"CCNA_00178","YP_002515553.1",196,"type II secretion pathway protein J"
"chromosome","NC_011916.1",192892,193866,"+",7330223,,"CCNA_00179","YP_002515554.1",324,"type II secretion pathway protein K"
"chromosome","NC_011916.1",193848,194954,"+",7330224,,"CCNA_00180","YP_002515555.1",368,"type II secretion pathway protein L"
"chromosome","NC_011916.1",194951,195427,"+",7330225,,"CCNA_00181","YP_002515556.1",158,"type II secretion pathway protein M"
"chromosome","NC_011916.1",195424,196140,"+",7330226,,"CCNA_00182","YP_002515557.1",238,"type II secretion pathway protein N"
"chromosome","NC_011916.1",196250,197011,"-",7330227,"pulO","CCNA_00183","YP_002515558.1",253,"type II secretory pathway, prepilin signal peptidase"
"chromosome","NC_011916.1",197070,197267,"-",7330228,,"CCNA_00184","YP_002515559.1",65,"hypothetical protein CCNA_00184"
"chromosome","NC_011916.1",197285,199810,"-",7330229,,"CCNA_00185","YP_002515560.1",841,"TonB-dependent receptor"
"chromosome","NC_011916.1",200286,201602,"-",7330231,,"CCNA_00186","YP_002515561.1",438,"guanine-hypoxanthine permease"
"chromosome","NC_011916.1",201599,202681,"-",7330232,,"CCNA_00187","YP_002515562.2",360,"NUP-family purine nucleoside permease"
"chromosome","NC_011916.1",202763,203725,"-",7330233,,"CCNA_00188","YP_002515563.2",320,"ABC transporter ATP-binding protein"
"chromosome","NC_011916.1",203869,204135,"+",7330234,,"CCNA_00189","YP_002515564.1",88,"zinc-finger domain protein"
"chromosome","NC_011916.1",204137,204571,"+",7330235,,"CCNA_00190","YP_002515565.4",144,"acyl-CoA hydrolase"
"chromosome","NC_011916.1",204697,205173,"+",7330236,,"CCNA_00191","YP_002515566.1",158,"N-acetylglutamate synthase domain protein"
"chromosome","NC_011916.1",205174,206793,"-",7330237,,"CCNA_00192","YP_002515567.1",539,"long-chain-fatty-acid--CoA ligase"
"chromosome","NC_011916.1",206989,208041,"-",7330238,"leuB","CCNA_00193","YP_002515568.1",350,"3-isopropylmalate dehydrogenase"
"chromosome","NC_011916.1",208043,208345,"-",7330239,,"CCNA_00194","YP_002515569.1",100,"YgiN-family quinol monooxygenase"
"chromosome","NC_011916.1",208487,209095,"-",7330240,"leuD","CCNA_00195","YP_002515570.1",202,"3-isopropylmalate dehydratase small subunit"
"chromosome","NC_011916.1",209092,210531,"-",7330241,"leuC","CCNA_00196","YP_002515571.1",479,"3-isopropylmalate dehydratase large subunit"
"chromosome","NC_011916.1",211121,211522,"-",7330243,"rplS","CCNA_00197","YP_002515572.1",133,"LSU ribosomal protein L19P"
"chromosome","NC_011916.1",211519,212256,"-",7330244,"trmD","CCNA_00198","YP_002515573.1",245,"tRNA (guanine-N1)-methyltransferase"
"chromosome","NC_011916.1",212387,214267,"+",7330245,"cpaL","CCNA_00199","YP_002515574.1",626,"TadG/vWA-family protein CpaL"
"chromosome","NC_011916.1",214320,215255,"-",7330246,,"CCNA_00200","YP_002515575.3",311,"2OG-Fe(II) oxygenase superfamily protein"
"chromosome","NC_011916.1",215418,216098,"+",7330247,,"CCNA_00201","YP_002515576.1",226,"outer membrane protein"
"chromosome","NC_011916.1",216215,217270,"+",7330248,,"CCNA_00202","YP_002515577.1",351,"DesA-family fatty acid desaturase"
"chromosome","NC_011916.1",217328,218332,"+",7330249,,"CCNA_00203","YP_002515578.2",334,"sterol desaturase family protein"
